Universitas,Prodi,Rank
universitas negeri malang,sains aktuaria,22.0
universitas muhammadiyah bangka belitung,kriminologi,999.0
universitas muhammadiyah bangka belitung,pariwisata,999.0
institut teknologi bisnis dan kesehatan muhammadiyah tulungagung,bisnis digital,999.0
institut teknologi bisnis dan kesehatan muhammadiyah tulungagung,biokewirausahaan,999.0
institut seni budaya indonesia bandung,desain komunikasi visual,999.0
institut seni indonesia padang panjang,pariwisata,999.0
sekolah tinggi ilmu pertanian kendari,kehutanan,999.0
universitas tunas pembangunan surakarta,sistem informasi kota cerdas,999.0
sekolah tinggi ekonomi dan bisnis islam yayasan pelita ilmu insani,perbankan syariah,999.0
stt sangkakala jakarta,teologi,999.0
stt salatiga,teologi,999.0
institut agama islam nahdlatul ulama bangil,bimbingan penyuluhan islam,999.0
universitas islam negeri mahmud yunus batusangkar,jurnalistik islam,999.0
universitas dayanu ikhsanuddin,agroteknologi,999.0
universitas langlang buana,kepolisian,999.0
stai sufyan tsauri majenang,hukum keluarga islam,999.0
universitas muhammadiyah purwokerto,desain komunikasi visual,999.0
politeknik negeri ambon,teknologi rekayasa sistem mekanikal minyak dan gas,999.0
universitas muhammadiyah sidenreng rappang,administrasi publik,999.0
stai miftahul ulum tarate pandian sumenep,hukum keluarga islam,999.0
akademi militer magelang,teknik elektronika pertahanan,999.0
universitas islam balitar,sosiologi,999.0
sekolah tinggi ilmu hukum muhammadiyah kisaran,ilmu hukum,999.0
sekolah tinggi bahasa asing mentari kupang,sastra inggris,999.0
sekolah tinggi teknik multimedia internasional malang,arsitektur,999.0
institut almaarif way kanan,manajemen pendidikan islam,999.0
universitas mitra bangsa,manajemen,999.0
sekolah tinggi bahasa asing yapari,sastra perancis,999.0
institut seni budaya indonesia bandung,televisi dan film,999.0
universitas sains dan teknologi komputer,hukum,999.0
institut informatika dan bisnis darmajaya,pariwisata,999.0
institut informatika dan bisnis darmajaya,hukum bisnis,999.0
universitas negeri padang,pariwisata,21.0
universitas pignatelli triputra,informatika,999.0
universitas islam negeri antasari banjarmasin,ilmu hadis,999.0
universitas muhammadiyah ahmad dahlan palembang,fisioterapi,999.0
universitas muhammadiyah ahmad dahlan palembang,kebidanan,999.0
universitas muhammadiyah ahmad dahlan palembang,kesehatan lingkungan,999.0
universitas muhammadiyah ahmad dahlan palembang,keperawatan,999.0
universitas ummi bogor,kebidanan,999.0
universitas muhammadiyah lampung,teknik sipil,999.0
universitas muhammadiyah mataram,teknik geologi,999.0
universitas timor,biologi,999.0
universitas nias,teknik sipil,999.0
universitas telkom,manajemen rekayasa,999.0
sekolah tinggi teknologi migas,rekayasa geologi,999.0
universitas faletehan,teknik elektro,999.0
universitas faletehan,teknik sipil,999.0
universitas negeri padang,ilmu aktuaria,21.0
politeknik negeri medan,teknologi rekayasa kimia industri,999.0
politeknik negeri medan,teknik rekayasa manufaktur,999.0
universitas aisyiyah palembang,manajemen informasi kesehatan,999.0
universitas aisyiyah palembang,keperawatan,999.0
politeknik negeri medan,teknologi rekayasa otomasi,999.0
universitas sumatera utara,kimia terapan,14.0
universitas akprind indonesia,teknik lingkungan,999.0
sekolah tinggi ilmu kesehatan sismadi,keperawatan,999.0
iain ambon,statistika,999.0
institut kesehatan dan teknologi kartini batam,administrasi rumah sakit,999.0
institut kesehatan dan teknologi kartini batam,teknologi bank darah,999.0
universitas ipwija,kebidanan,999.0
politeknik kesehatan kerta cendekia,keperawatan,999.0
politeknik kesehatan kerta cendekia,keperawatan,999.0
sekolah tinggi ilmu kesehatan samarinda,gizi,999.0
sekolah tinggi ilmu kesehatan samarinda,gizi,999.0
sekolah tinggi ilmu kesehatan yahya bima,kebidanan,999.0
institut agama islam syekh maulana qori bangko,ekonomi syariah,999.0
universitas negeri makassar,teknologi industri pertanian,999.0
politeknik alkon kalimantan,keselamatan dan kesehatan kerja,999.0
institut teknologi dan bisnis tuban,bisnis digital,999.0
universitas merdeka pasuruan,manajemen,999.0
institut teknologi dan bisnis carnegie,kewirausahaan,999.0
iain syekh nurjati cirebon,ekonomi syariah,999.0
institut dirosat islamiyah alamien prenduan sumenep,ekonomi syariah,999.0
politeknik jambi,bisnis digital,999.0
institut agama islam yasni bungo,ekonomi syariah,999.0
universitas audi indonesia,akuntansi,999.0
universitas megarezky,kewirausahaan,999.0
institut bisnis dan informatika kesatuan,bisnis digital,999.0
universitas sulawesi barat,bioteknologi,999.0
universitas muhammadiyah pku surakarta,kebidanan,999.0
universitas bhakti pertiwi indonesia,ilmu kesehatan masyarakat,999.0
universitas jambi,pendidikan fisika,999.0
politeknik kesehatan kementrian kesehatan jakarta ii,teknologi rekayasa elektromedis,999.0
universitas san pedro,biologi,999.0
politeknik bisnis kaltara,akuntansi,999.0
institut agama islam asadiyah sengkang,tadris bahasa inggris,999.0
universitas kh bahaudin mudhary madura,akuntansi,999.0
universitas diponegoro,sejarah,8.0
universitas pgri mahadewa indonesia,pendidikan matematika,999.0
universitas borneo tarakan,agroteknologi,999.0
stmik ganesha bandung,teknik informatika,999.0
sekolah tinggi teologi pelita bangsa,teologi,999.0
iain bukittinggi,ekonomi islam,999.0
universitas sebelas maret,ekonomi pembangunan,13.0
politeknik ahli usaha perikanan,teknologi pengolahan hasil perikanan,999.0
universitas islam negeri sunan kalijaga,bimbingan dan konseling islam,999.0
institut ummul quro alislami bogor jawa barat,ekonomi syariah,999.0
universitas alazhar indonesia,bahasa dan kebudayaan arab,999.0
universitas mahaputra muhammad yamin,pendidikan bahasa indonesia,999.0
sekolah tinggi keguruan dan ilmu pendidikan pgri situbondo,pendidikan matematika,999.0
institut ptiq jakarta,pendidikan islam anak usia dini,999.0
universitas islam riau,pendidikan agama islam,999.0
universitas syiah kuala,pendidikan seni drama,23.0
universitas jember,pendidikan ekonomi,999.0
universitas indraprasta pgri,pendidikan ekonomi,999.0
sekolah tinggi agama kristen lentera bangsa manado,pendidikan agama kristen,999.0
sekolah tinggi agama islam natuna,pendidikan agama islam,999.0
sekolah tinggi keguruan dan ilmu pendidikan bina mutiara,pendidikan guru sekolah dasar,999.0
sekolah tinggi agama islam sufyan tsauri majenang,pendidikan agama islam,999.0
universitas sembilanbelas november kolaka,pendidikan bahasa indonesia,999.0
universitas pgri palembang,bimbingan dan konseling,999.0
universitas pgri silampari,pendidikan fisika,999.0
universitas pgri kanjuruhan malang,pendidikan bahasa dan sastra indonesia,999.0
universitas negeri makassar,pendidikan guru pendidikan anak usia dini,999.0
institut agama islam negeri palangkaraya,tadris bahasa inggris,999.0
universitas nias,bimbingan dan konseling,999.0
sekolah tinggi agama islam madinatun najah rengat,pendidikan agama islam,999.0
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah manokwari,pendidikan bahasa dan sastra indonesia,999.0
universitas garut,pendidikan agama islam,999.0
universitas kahuripan kediri,pendidikan pancasila dan kewarganegaraan,999.0
universitas negeri manado,pendidikan bahasa perancis,999.0
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah manokwari,pendidikan bahasa inggris,999.0
universitas islam indragiri,pendidikan bahasa inggris,999.0
universitas majalengka,pendidikan agama islam,999.0
universitas pgri banyuwangi,pendidikan bahasa inggris,999.0
universitas flores,pendidikan guru sekolah dasar,999.0
universitas majalengka,pendidikan guru sekolah dasar,999.0
sekolah tinggi keguruan dan ilmu pendidikan al hikmah surabaya,pendidikan matematika,999.0
universitas tanjungpura,pendidikan guru pendidikan anak usia dini,999.0
universitas flores,pendidikan matematika,999.0
universitas islam negeri sunan kalijaga,aqidah dan filsafat islam,999.0
universitas bina sarana informatika,sistem informasi kampus kota tasikmalaya,999.0
universitas islam negeri kh abdurrahman wahid pekalongan,pendidikan guru madrasah ibtidaiyah,999.0
universitas islam negeri mahmud yunus batusangkar,ilmu alquran dan tafsir,999.0
institut teknologi dan bisnis bina adinata,sistem informasi,999.0
universitas muhammadiyah yogyakarta,hukum,16.0
universitas muhammadiyah yogyakarta,manajemen,16.0
universitas muhammadiyah yogyakarta,agroteknologi,16.0
universitas muhammadiyah yogyakarta,ilmu komunikasi,16.0
universitas tama jagakarsa,pendidikan bahasa dan sastra indonesia,999.0
universitas katolik santo thomas,ilmu hukum,999.0
universitas negeri makassar,bahasa dan sastra indonesia,999.0
universitas gadjah mada,arsitektur,2.0
universitas wijaya kusuma surabaya,pendidikan guru sekolah dasar,999.0
politeknik negeri banjarmasin,elektronika,999.0
universitas islam negeri salatiga,ekonomi syariah,999.0
universitas pgri madiun,pendidikan bahasa dan sastra indonesia,999.0
stai tebing tinggi deli,pendidikan agama islam,999.0
politeknik kesdam vi banjarmasin,manajemen informasi kesehatan,999.0
universitas gadjah mada,fisika,2.0
universitas mahasaraswati denpasar,pendidikan biologi,999.0
universitas bosowa,pendidikan bahasa inggris,999.0
universitas islam negeri kh abdurrahman wahid pekalongan,pendidikan islam anak usia dini,999.0
institut pendidikan indonesia garut,pendidikan pancasila dan kewarganegaraan,999.0
universitas islam negeri imam bonjol padang,tadris ilmu pengetahuan sosial,999.0
universitas negeri semarang,pendidikan bahasa dan sastra jawa,999.0
universitas muhammadiyah gresik,pendidikan guru sekolah dasar,999.0
universitas sembilanbelas november kolaka,pendidikan bahasa inggris,999.0
sekolah tinggi keguruan dan ilmu pendidikan kusumanegara,pendidikan bahasa inggris,999.0
universitas primagraha,pendidikan pancasila dan kewarganegaraan,999.0
institut agama islam negeri pontianak,pendidikan agama islam,999.0
universitas negeri semarang,pendidikan fisika,999.0
universitas borneo tarakan,pendidikan bahasa inggris,999.0
universitas muhammadiyah enrekang,pendidikan guru sekolah dasar,999.0
universitas san pedro,pendidikan luar biasa,999.0
universitas timor,pendidikan matematika,999.0
universitas islam negeri sultan aji muhammad idris samarinda,pendidikan bahasa arab,999.0
universitas papua,pendidikan biologi,999.0
universitas papua,pendidikan matematika,999.0
universitas papua,pendidikan fisika,999.0
universitas pgri banyuwangi,pendidikan jasmani,999.0
universitas borneo tarakan,pendidikan matematika,999.0
universitas pasundan,pendidikan biologi,999.0
sekolah tinggi teologi basom,pendidikan agama kristen,999.0
universitas kristen petra,pendidikan guru sekolah dasar,26.0
universitas islam zainul hasan genggong probolinggo,pendidikan islam anak usia dini,999.0
universitas sarjanawiyata tamansiswa,pendidikan vokasional kesejahteraan keluarga,999.0
universitas negeri surabaya,pendidikan guru sekolah dasar,999.0
sekolah tinggi keguruan dan ilmu pendidikan paracendekia n w sumbawa,pendidikan matematika,999.0
universitas islam negeri sultan thaha saifuddin jambi,pendidikan guru madrasah ibtidaiyah,999.0
universitas islam negeri profesor kiai haji saifuddin zuhri purwokerto,manajemen pendidikan islam,999.0
institut agama islam ibrahimy genteng banyuwangi,pendidikan agama islam,999.0
universitas kristen satya wacana,ilmu komunikasi,999.0
universitas islam negeri sunan ampel,psikologi,999.0
akademi manajemen belitung,manajemen administrasi,999.0
universitas muhammadiyah sukabumi,hubungan masyarakat,999.0
universitas nahdlatul ulama al ghazali cilacap,pendidikan islam anak usia dini,999.0
politeknik negeri kupang,teknik instalasi listrik,999.0
universitas achmad yani banjarmasin,ilmu hukum,999.0
stai pancawahana bangil,tadris bahasa inggris,999.0
universitas mohammad husni thamrin jakarta,pendidikan anak usia dini,999.0
sekolah tinggi keguruan dan ilmu pendidikan biak,pendidikan matematika,999.0
universitas islam nusantara,teknik informatika,999.0
universitas negeri surabaya,pendidikan administrasi perkantoran,999.0
institut agama islam sumbar,perbankan syariah,999.0
sekolah tinggi agama buddha negeri sriwijaya tangerang,ilmu komunikasi buddha,999.0
institut agama islam faqih asyari kediri,manajemen pendidikan islam,999.0
universitas prisma,teknologi pangan,999.0
universitas trinita,hukum,999.0
universitas indonesia,pariwisata,1.0
politeknik piksi input serang,sekretari,999.0
universitas semarang,pariwisata,999.0
universitas kh a wahab hasbullah,rekayasa pertanian dan biosistem,999.0
stisipol mujahidin,ilmu administrasi negara,999.0
stkip nahdlatul ulama kabupaten tegal,bimbingan dan konseling,999.0
sekolah tinggi ilmu hukum prof dr yohanes usfunan,hukum,999.0
stisip bunda tanah melayu,ilmu pemerintahan,999.0
universitas nurul jadid,rekayasa perangkat lunak,999.0
universitas islam madura,pendidikan bahasa inggris,999.0
universitas muhammadiyah bangka belitung,pendidikan jasmani,999.0
institut agama islam agus salim metro lampung,pendidikan agama islam,999.0
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah manokwari,pendidikan biologi,999.0
institut agama islam negeri manado,tadris bahasa inggris,999.0
sekolah tinggi teknologi kedirgantaraan,ground handling,999.0
universitas kristen artha wacana,manajemen sumber daya perairan,999.0
institut pertanian stiper,teknologi hasil pertanian,999.0
universitas dr soetomo,teknologi pangan,999.0
universitas dayanu ikhsanuddin,ilmu administrasi negara,999.0
universitas islam negeri maulana malik ibrahim,sastra inggris,999.0
universitas hindu indonesia,ilmu filsafat hindu,999.0
universitas padjadjaran,sastra jerman,7.0
universitas graha nusantara,agroteknologi,999.0
universitas bina nusantara,ilmu komunikasi,10.0
universitas pembangunan jaya,psikologi,999.0
iain syekh nurjati cirebon,hukum ekonomi syariah,999.0
universitas sumatera utara,antropologi sosial,14.0
universitas halim sanusi,komunikasi,999.0
universitas panca sakti bekasi,manajemen,999.0
universitas pasir pengaraian,agroteknologi,999.0
universitas pakuan,ilmu komunikasi,999.0
politeknik pertanian negeri kupang,teknologi pakan ternak,999.0
politeknik pertanian negeri pangkajene kepulauan,teknologi pengolahan hasil perikanan,999.0
universitas sebelas maret,sastra indonesia,13.0
universitas ekasakti,ilmu hukum,999.0
universitas islam makassar,agroteknologi,999.0
universitas nuku,ilmu administrasi negara,999.0
institut agama islam bunga bangsa cirebon,pendidikan islam anak usia dini,999.0
universitas merangin,pendidikan bahasa inggris,999.0
universitas muhammadiyah parepare,pendidikan islam anak usia dini,999.0
universitas nias,pendidikan bahasa dan sastra indonesia,999.0
universitas islam sultan agung,pendidikan bahasa dan sastra indonesia,999.0
universitas nias,pendidikan teknik bangunan,999.0
universitas islam negeri raden mas said surakarta,pendidikan bahasa inggris,999.0
institut seni indonesia denpasar,seni karawitan,999.0
universitas halu oleo,arsitektur,999.0
universitas islam 45,ilmu pemerintahan,999.0
sekolah tinggi teologi kharisma bandung,teologi,999.0
stai annawawi purworejo,hukum ekonomi syariah,999.0
sekolah tinggi ilmu hukum ichsan gorontalo,ilmu hukum,999.0
universitas aki,psikologi,999.0
institut seni indonesia denpasar,kriya,999.0
institut keislaman abdullah faqih manyar gresik,komunikasi dan penyiaran islam,999.0
universitas kahuripan kediri,agroteknologi,999.0
universitas kahuripan kediri,agribisnis,999.0
sekolah tinggi hukum pasundan,ilmu hukum,999.0
universitas tabanan,agroteknologi,999.0
institut keislaman abdullah faqih manyar gresik,hukum ekonomi syariah,999.0
universitas islam negeri sumatera utara medan,komunikasi dan penyiaran islam,999.0
universitas sang bumi ruwa jurai,administrasi publik,999.0
universitas diponegoro,sastra indonesia,8.0
universitas diponegoro,ilmu komunikasi,8.0
universitas diponegoro,psikologi,8.0
universitas patompo,pendidikan ekonomi,999.0
universitas patompo,pendidikan matematika,999.0
universitas patompo,manajemen,999.0
universitas diponegoro,hukum,8.0
stmik mbc palembang,sistem informasi,999.0
universitas muara bungo,peternakan,999.0
universitas muara bungo,teknik sipil,999.0
universitas baturaja,pendidikan bahasa inggris,999.0
universitas tadulako,ekonomi dan pembangunan,999.0
universitas muhammadiyah mataram,administrasi bisnis,999.0
akademi kebidanan persada wajo,kebidanan,999.0
politeknik kesehatan kementerian kesehatan palembang,kebidanan,999.0
sekolah tinggi ilmu kesehatan abdi nusantara jakarta,kebidanan,999.0
sekolah tinggi ilmu kesehatan pamenang,kebidanan,999.0
sekolah tinggi ilmu kesehatan yarsi mataram,kebidanan,999.0
universitas ibnu sina,kesehatan dan keselamatan kerja,999.0
universitas karya husada semarang,ilmu biomedis,999.0
universitas islam negeri walisongo semarang,gizi,999.0
sekolah tinggi agama islam darussalam nganjuk,manajemen pendidikan islam,999.0
universitas islam negeri mahmud yunus batusangkar,pendidikan bahasa arab,999.0
universitas islam negeri mahmud yunus batusangkar,pendidikan agama islam,999.0
sekolah tinggi ilmu tarbiyah misbahul ulum gumawang,pendidikan agama islam,999.0
politeknik negeri jakarta,teknik informatika,999.0
universitas islam negeri sumatera utara medan,pendidikan agama islam,999.0
universitas syiah kuala,biologi,23.0
universitas syiah kuala,teknik sipil,23.0
universitas islam negeri sumatera utara medan,tadris bahasa inggris,999.0
sekolah tinggi teologi basom,teologi,999.0
sekolah tinggi ilmu kesehatan muhammadiyah wonosobo,farmasi,999.0
sekolah tinggi teknik industri turen,teknik elektro,999.0
politeknik pariwisata nhi bandung,destinasi pariwisata,999.0
politeknik pariwisata nhi bandung,manajemen konvensi dan event,999.0
universitas mohammad natsir bukittinggi,administrasi publik,999.0
universitas mohammad natsir bukittinggi,hukum,999.0
universitas tribhuwana tungga dewi,administrasi publik,999.0
universitas majalengka,pendidikan jasmani,999.0
universitas majalengka,administrasi publik,999.0
universitas ipwija,manajemen,999.0
universitas bina nusantara,sastra jepang,10.0
universitas islam negeri syarif hidayatullah,tadris biologi,999.0
institut agama islam negeri bone,pendidikan agama islam,999.0
universitas pasifik morotai,pendidikan bahasa inggris,999.0
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah bogor,administrasi pendidikan,999.0
sekolah tinggi agama islam nusantara kota banda aceh,pendidikan agama islam,999.0
universitas trunojoyo,pendidikan guru sekolah dasar,999.0
universitas muhammadiyah parepare,pendidikan luar sekolah,999.0
universitas nusa lontar rote,pendidikan sejarah,999.0
akademi pariwisata dan perhotelan ganesha,usaha perjalanan wisata,999.0
universitas muhammadiyah makassar,budidaya perairan,999.0
institut informatika dan bisnis darmajaya,manajemen,999.0
institut seni indonesia yogyakarta,etnomusikologi,999.0
politeknik kesehatan kementerian kesehatan medan,gizi dan dietetika,999.0
universitas adiwangsa jambi,pendidikan matematika,999.0
sekolah tinggi keguruan dan ilmu pendidikan persada khatulistiwa,pendidikan guru sekolah dasar,999.0
universitas muhammadiyah sidenreng rappang,pendidikan bahasa inggris,999.0
universitas negeri jakarta,pendidikan kepelatihan olahraga,999.0
institut pesantren sunan drajat lamongan,manajemen pendidikan islam,999.0
institut agama islam negeri pontianak,pendidikan bahasa arab,999.0
universitas wiralodra,pendidikan biologi,999.0
universitas muhammadiyah metro,pendidikan sejarah,999.0
universitas nahdlatul ulama al ghazali cilacap,pendidikan guru sekolah dasar,999.0
universitas negeri jakarta,pendidikan jasmani,999.0
universitas pgri kanjuruhan malang,bimbingan dan konseling,999.0
sekolah tinggi ilmu tarbiyah diniyyah puteri rahmah el yunusiyyah padang panjang,pendidikan islam anak usia dini,999.0
universitas sains al quran,pendidikan bahasa inggris,999.0
stai algazali bone,manajemen pendidikan islam,999.0
universitas komputer indonesia,ilmu pemerintahan,999.0
universitas sumatera utara,agribisnis,14.0
politeknik kesehatan kementerian kesehatan semarang,keperawatan gigi,999.0
sekolah tinggi ilmu kesehatan dharma husada,kebidanan,999.0
sekolah tinggi ilmu kesehatan medistra indonesia,ilmu keperawatan,999.0
universitas jenderal soedirman,farmasi,999.0
universitas padjadjaran,kedokteran,7.0
universitas sam ratulangi,kedokteran gigi,999.0
universitas pendidikan muhammadiyah sorong,pendidikan guru sekolah dasar,999.0
universitas mandiri,pendidikan guru sekolah dasar,999.0
sekolah tinggi agama islam negeri sultan abdurrahman kepulauan riau,manajemen pendidikan islam,999.0
sekolah tinggi ilmu tarbiyah payakumbuh,pendidikan agama islam,999.0
institut agama kristen negeri manado,pendidikan agama kristen,999.0
akademi keperawatan yapenas 21 maros,keperawatan,999.0
politeknik kesehatan kementerian kesehatan surabaya,kebidanan,999.0
sekolah tinggi ilmu kesehatan adi husada,administrasi rumah sakit,999.0
sekolah tinggi ilmu kesehatan estu utomo,kebidanan,999.0
sekolah tinggi ilmu kesehatan keluarga bunda jambi,farmasi,999.0
sekolah tinggi ilmu kesehatan serulingmas,kebidanan,999.0
universitas bhakti kencana,kebidanan,999.0
universitas kusuma husada surakarta,kebidanan,999.0
universitas lampung,farmasi,999.0
politeknik indonusa surakarta,farmasi,999.0
politeknik kesehatan kementerian kesehatan malang,kebidanan,999.0
politeknik negeri jember,gizi klinik,999.0
sekolah tinggi ilmu kesehatan kepanjen,administrasi rumah sakit,999.0
universitas borneo lestari,farmasi,999.0
universitas islam sultan agung,kebidanan,999.0
institut sains dan teknologi alkamal,farmasi,999.0
universitas sains cut nyak dhien,keperawatan,999.0
institut agama islam tasikmalaya,pendidikan guru madrasah ibtidaiyah,999.0
universitas mulawarman,pendidikan fisika,999.0
politeknik bintan cakrawala,pengelolaan perhotelan,999.0
universitas samawa,agroteknologi,999.0
universitas jenderal soedirman,bisnis internasional,999.0
institut seni indonesia surakarta,etnomusikologi,999.0
institut seni indonesia surakarta,seni karawitan,999.0
universitas proklamasi 45,teknologi informasi,999.0
universitas dian nusantara,teknik informatika,999.0
stkip al amin dompu,pendidikan guru sekolah dasar,999.0
universitas hindu negeri i gusti bagus sugriwa denpasar,hukum hindu,999.0
universitas islam sumatera utara,hukum keluarga,999.0
universitas brawijaya,sastra jepang,9.0
politeknik kesehatan kementerian kesehatan bengkulu,keperawatan,999.0
sekolah tinggi kesehatan indonesia wirautama,kesehatan masyarakat,999.0
universitas khairun,pendidikan dokter,999.0
stkip babunnajah pandeglang,pendidikan guru pendidikan anak usia dini,999.0
universitas muhammadiyah malang,ilmu pemerintahan,999.0
universitas diponegoro,teknik listrik industri,8.0
sekolah tinggi teknik industri turen,teknik kimia,999.0
universitas muhammadiyah bone,pendidikan matematika,999.0
universitas muhammadiyah bengkulu,pendidikan agama islam,999.0
universitas islam negeri syarif hidayatullah,teknik informatika,999.0
universitas kh a wahab hasbullah,informatika,999.0
stimik sepuluh nopember jayapura,teknik informatika,999.0
universitas muhammadiyah tapanuli selatan,pendidikan ekonomi,999.0
universitas darma agung,pendidikan agama kristen,999.0
sekolah tinggi agama islam sepakat segenep kutacane aceh tenggara,pendidikan agama islam,999.0
sekolah tinggi agama islam alazhar menganti gresik,pendidikan guru madrasah ibtidaiyah,999.0
universitas muhammadiyah surakarta,ekonomi pembangunan,999.0
politeknik akbara surakarta,bisnis digital,999.0
politeknik negeri banjarmasin,akuntansi lembaga keuangan syariah,999.0
universitas wiralodra,perbankan syariah,999.0
universitas darul ulum,manajemen,999.0
universitas islam negeri maulana malik ibrahim,manajemen,999.0
universitas jabal ghafur,akuntansi,999.0
institut agama islam negeri pontianak,perbankan syariah,999.0
sekolah tinggi ilmu ekonomi makassar maju,manajemen,999.0
institut agama islam negeri ponorogo,ekonomi syariah,999.0
sekolah tinggi ilmu ekonomi ciputra makassar,manajemen,999.0
universitas sebelas april sumedang,akuntansi,999.0
universitas internasional semen indonesia,akuntansi,999.0
stai nurul huda kapongan situbondo,hukum keluarga islam,999.0
universitas islam negeri sunan kalijaga,sosiologi,999.0
institut agama islam negeri kudus,aqidah dan filsafat islam,999.0
politeknik pertanian negeri samarinda,teknologi geomatika,999.0
politeknik pertanian negeri payakumbuh,budi daya tanaman hortikultura,999.0
universitas sebelas april,sastra inggris,999.0
universitas andalas,ilmu politik,24.0
universitas sebelas maret,manajemen perdagangan,13.0
universitas udayana,agroekoteknologi,999.0
politeknik manufaktur bandung,teknologi perancangan mekanik,999.0
universitas muhammadiyah sumatera utara,ilmu komunikasi,999.0
politeknik negeri madiun,bahasa inggris,999.0
stid alhadid surabaya,komunikasi dan penyiaran islam,999.0
universitas indonesia,arkeologi,1.0
universitas indonesia,sastra belanda,1.0
universitas bosowa,perencanaan wilayah dan kota,999.0
universitas muhammadiyah sukabumi,ilmu hukum,999.0
sekolah tinggi theologia nazarene indonesia,teologi,999.0
universitas andalas,ilmu komunikasi,24.0
stai assunnah deli serdang sumatera utara,komunikasi penyiaran islam,999.0
universitas bosowa,arsitektur,999.0
universitas ibnu chaldun,ilmu komunikasi,999.0
universitas pancasakti tegal,ilmu hukum,999.0
universitas surakarta,sastra inggris,999.0
sekolah tinggi ilmu dakwah sirnarasa,bimbingan penyuluhan islam,999.0
universitas nusa putra,desain komunikasi visual,999.0
stt gereja protestan indonesia papua,teologi,999.0
universitas ahmad dahlan,pendidikan bahasa inggris,999.0
universitas aisyiyah bandung,perdagangan internasional,999.0
universitas pattimura,pemanfaatan sumber daya perikanan,999.0
universitas negeri malang,bahasa dan sastra inggris,22.0
universitas nahdlatul ulama al ghazali cilacap,sistem informasi,999.0
universitas darma agung,pendidikan pancasila dan kewarganegaraan,999.0
universitas nusa cendana,pendidikan teknik mesin,999.0
universitas garut,pendidikan ilmu pengetahuan alam,999.0
universitas madura,teknik industri,999.0
universitas mataram,arsitektur,999.0
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah batang,pendidikan guru sekolah dasar,999.0
stmik itmi medan,teknik informatika,999.0
akademi perdagangan bandung,manajemen perdagangan,999.0
universitas negeri surabaya,manajemen pendidikan,999.0
universitas triatma mulya,pendidikan jasmani k jembrana,999.0
universitas sriwijaya,agribisnis,999.0
universitas katolik santo thomas,teknologi hasil pertanian,999.0
stai yamisa soreang,hukum ekonomi syariah,999.0
universitas sriwijaya,agroekoteknologi,999.0
sekolah tinggi ilmu administrasi mataram,ilmu administrasi niaga,999.0
universitas palembang,ilmu hukum,999.0
universitas pekalongan,agroteknologi,999.0
universitas hasanuddin,ilmu gizi,11.0
universitas majalengka,pendidikan islam anak usia dini,999.0
universitas jenderal soedirman,pendidikan bahasa inggris,999.0
institut agama islam negeri fattahul muluk papua,pendidikan guru madrasah ibtidaiyah,999.0
universitas negeri makassar,administrasi kesehatan,999.0
stmik ppkia pradnya paramita,sistem informasi,999.0
universitas samawa,pendidikan fisika,999.0
sekolah tinggi farmasi muhammadiyah cirebon,farmasi,999.0
universitas kusuma husada surakarta,administrasi kesehatan,999.0
universitas tanjungpura,keperawatan,999.0
institut pendidikan tapanuli selatan,pendidikan bahasa dan sastra indonesia,999.0
sekolah tinggi keguruan dan ilmu pendidikan persada khatulistiwa,pendidikan komputer,999.0
universitas pendidikan indonesia,pendidikan guru pendidikan anak usia dini,17.0
institut agama islam alfalah assunniyah kencong jember,bimbingan dan konseling pendidikan islam,999.0
universitas cokroaminoto palopo,pendidikan bahasa indonesia,999.0
universitas muhammadiyah mataram,pendidikan bahasa dan sastra indonesia,999.0
universitas tanjungpura,bimbingan dan konseling,999.0
universitas katolik widya mandala surabaya,bimbingan dan konseling,999.0
sekolah tinggi ilmu tarbiyah muhammadiyah sibolga,pendidikan agama islam,999.0
universitas wiralodra,pendidikan bahasa dan sastra indonesia,999.0
akademi kebidanan jember,kebidanan,999.0
akademi kesehatan john paul ii pekanbaru,analis kesehatan,999.0
politeknik kesehatan kementerian kesehatan surabaya,keperawatan,999.0
universitas katolik widya mandala surabaya,farmasi,999.0
universitas sebelas maret,farmasi,13.0
universitas widya gama mahakam samarinda,kesehatan masyarakat,999.0
universitas aisyiyah surakarta,administrasi rumah sakit,999.0
universitas jenderal achmad yani yogyakarta,rekam medis dan informasi kesehatan,999.0
universitas muhammadiyah metro,fisioterapi,999.0
universitas qamarul huda badaruddin bagu,kebidanan,999.0
universitas pelita harapan,pendidikan biologi,999.0
universitas muhammadiyah sidoarjo,pendidikan agama islam,999.0
stpak st yohanes penginjil ambon,pendidikan keagamaan katolik,999.0
universitas negeri makassar,pendidikan seni rupa,999.0
universitas tamansiswa,pendidikan matematika,999.0
sekolah tinggi keguruan dan ilmu pendidikan pamane talino,pendidikan bahasa inggris,999.0
universitas simalungun,pendidikan bahasa dan sastra indonesia,999.0
universitas pgri banyuwangi,pendidikan matematika,999.0
universitas nusantara pgri kediri,pendidikan matematika,999.0
universitas oso,manajemen,999.0
universitas muhammadiyah maluku utara,akuntansi,999.0
universitas jember,akuntansi,999.0
